['07517', '328410']
['07519', '278207']
['07537', '362611']
['07540', '224103']
['07546', '415314']
['07552', '400114']
['07567', '074794']
['07569', '265906']
['07573', '106996']
['07574', '207802', '313709']
['07577', '273906']
['07584', '188301']
['07611', '076394']
['07621', '210102']
['07629', '166700']
['07639', '048092']
['07650', '234704']
['07658', '278607']
['07659', '077994']
['07672', '132398']
['07680', '142298']
['07694', '193901']
['07702', '159199']
['07710', '097995']
['07730', '110396']
['07733', '048292']
['07740', '155599', '198002']
['07742', '246305']
['07757', '162800']
['07768', '276606']
['07785', '087395']
['07788', '193301']
['07793', '346711']
['07797', '192501']
['07803', '354711']
['07808', '275106']
['07825', '061093']
['07831', '297408']
['07836', '410814']
['07837', '156299']
['07840', '257005']
['07889', '340510']
['07900', '199302']
['07906', '210202']
['07914', '173700']
['07938', '395513']
['07949', '196302']
['07951', '245205']
['07961', '352011']
['07972', '352511']
['07973', '399814']
['07974', '173400']
['07981', '231504']
['07996', '089595']
['08011', '306708']
['08012', '310508']
['08021', '106296']
['08034', '384113']
['08038', '353511']
['08043', '104996', '206802']
['08046', '162100']
['08047', '295708']
['08048', '053893']
['08058', '338710']
['08063', '345410', '434515']
['08067', '246905']
['08068', '080594']
['08069', '266606']
['08075', '174100']
['08080', '196402']
['08087', '268606']
['08088', '101296']
['08093', '177100', '384013']
['08100', '320409']
['08101', '144998']
['08106', '417114']
['08109', '100096']
['08117', '412414']
['08127', '439416']
['08145', '240704']
['08148', '088595']
['08150', '059893']
['08162', '147499']
['08163', '245705']
['08176', '382713']
['08179', '424915']
['08203', '338710']
['08213', '333210']
['08222', '350011']
['08229', '076094']
['08243', '107496']
['08248', '131898']
['08251', '175600']
['08260', '152199']
['08261', '436116']
['08277', '261606']
['08278', '231904']
['08326', '269906']
['08334', '321909']
['08349', '182701']
['08384', '292807']
['08405', '351011']
['08418', '402514']
['08422', '111996']
['08432', '067094']
['08436', '098095']
['08446', '241104']
['08455', '394513']
['08459', '282207']
['08461', '283807']
['08469', '189201']
['08495', '164900']
['08502', '058993', '152299', '323209']
['08511', '196802']
['08533', '144198']
['08539', '166000']
['08540', '333510']
['08558', '142198']
['08570', '212003']
['08572', '179001']
['08588', '392713']
['08592', '126997']
['08593', '410414']
['08594', '282807']
['08603', '211003']
['08609', '163800', '241204']
['08620', '141498']
['08633', '187401']
['08642', '357811']
['08651', '092995', '412614']
['08664', '098296']
['08665', '278207']
['08689', '157399']
['08731', '287707']
['08743', '270306']
['08766', '316509']
['08785', '240804']
['08786', '078294']
['08788', '207102']
['08793', '194502']
['08799', '399213']
['08808', '376312']
['08813', '221303']
['08827', '063193']
['08836', '044692']
['08867', '142598']
['08894', '358911']
['08898', '362711']
['08901', '285907']
['08902', '384913']
['08915', '156399']
['08925', '297208']
['08929', '413014']
['08937', '263106', '284507']
['08941', '096895', '231904']
['08948', '295908']
['08949', '224503']
['08953', '219803']
['08955', '169700']
['08959', '216503']
['08969', '307608']
['08975', '295108']
['08982', '335210']
['09005', '090695']
['09010', '359911']
['09021', '196102']
['09028', '101196']
['09029', '076794']
['09031', '092395']
['09045', '181501']
['09061', '372612']
['09066', '049992']
['09068', '237104']
['09082', '373212']
['09085', '243605']
['09091', '354011']
['09092', '086595']
['09096', '144298']
['09097', '188301']
['09103', '426115']
['09114', '065393']
['09131', '411714']
['09137', '399314']
['09140', '413614']
['09143', '063993', '292407']
['09150', '256805']
['09151', '437816']
['09171', '128097']
['09182', '215203']
['09187', '191801']
