['79162', '233804', '406314']
['79171', '353711']
['79181', '415914']
['79182', '144598']
['79187', '356811']
['79188', '328810']
['79193', '398613']
['79202', '259405']
['79207', '315609']
['79208', '173500']
['79220', '342310']
['79237', '194302']
['79238', '233404']
['79266', '345810']
['79270', '221603']
['79287', '281707']
['79308', '210603']
['79317', '331210']
['79320', '386013']
['79334', '160299']
['79338', '135698']
['79340', '113396', '251005']
['79342', '227804']
['79354', '273706']
['79363', '112096', '303908']
['79414', '311409']
['79419', '235604']
['79428', '349611']
['79433', '117697', '309908']
['79434', '143398']
['79439', '130698']
['79444', '368912']
['79445', '188501']
['79455', '072694', '410214']
['79456', '341610']
['79459', '161499']
['79461', '398113']
['79469', '227504']
['79477', '046492', '416914']
['79493', '258705']
['79505', '247105']
['79514', '092395']
['79515', '165300']
['79556', '301508']
['79559', '290507']
['79560', '255105']
['79565', '086995']
['79576', '086295']
['79579', '253305']
['79586', '318509']
['79589', '370312']
['79616', '396413']
['79617', '432315']
['79630', '165900']
['79636', '266706']
['79656', '106796']
['79659', '314409']
['79664', '199802']
['79670', '241504']
['79697', '114597']
['79698', '103696']
['79700', '273706']
['79703', '257905']
['79709', '353311']
['79710', '310008']
['79715', '162000']
['79722', '155799', '233904']
['79728', '254705']
['79733', '041492']
['79739', '169600']
['79744', '226003']
['79753', '357311']
['79759', '434315']
['79763', '055393']
['79767', '372312']
['79790', '247805']
['79791', '081394']
['79793', '238804']
['79796', '356311']
['79799', '290807']
['79820', '045492']
['79823', '291607']
['79825', '073294']
['79841', '191001']
['79845', '376212']
['79847', '097395']
['79859', '293407']
['79865', '434615']
['79883', '277306']
['79884', '390413']
['79887', '179401']
['79919', '159399']
['79929', '360511']
['79930', '043692']
['79934', '194402']
['79952', '176400']
['79971', '132998']
['79990', '125497']
